address,company,email,exp_date,id,name,quantity,status,stock_date,tel
"20639, Huntingtown, MD",Telecom Software,Lamont@eaaliquam.edu,2026-02-04,0,Olin,1700,0.52,2011-05-18,(661)131-6157
"14506, Mendon, NY",Max Provider West,D.Savoy@exerciut.tv,2027-01-15,1,Chang,5358,0.52,2010-05-20,(323)437-3372
"23824, Blackstone, VA",East Power Bell,Gene@minimfeugait.info,2021-01-10,2,Ralph,4099,0.74,2017-06-02,(662)163-7437
"95377, Tracy, CA",East Virtual Electronic,Blair@etfacilisis.com,2019-01-13,3,Dolly,3097,0.14,2014-05-25,(919)286-1292
"42461, Uniontown, KY",Solutions Analysis,Matthew@loremtationullamcorper.info,2020-06-05,4,Susie,3114,0.19,2009-05-31,(251)505-1363
"79415, Lubbock, TX",Telecom Technology,D.Pappas@lobortisduis.gov,2021-04-29,5,Isreal,3900,0.43,2014-05-22,(718)235-3460
"99516, Anchorage, AK",Universal Max Venture,Pattie.Badger@commodoconsequatvelit.edu,2026-07-29,6,John,4548,0.67,2014-05-20,(770)956-1846
"53565, Mineral Point, WI",Construction Star Direct,Hobert.Hurst@minimiustoodio.tv,2019-01-07,7,Jonathon,4057,0.18,2015-05-22,(571)488-8604
"90055, Los Angeles, CA",Adventure East Electronics,Joesph.Battles@feugaitdelenitaugue.edu,2021-03-03,8,Sheryl,237,0.49,2015-05-26,(320)771-3842
"95954, Magalia, CA",Advanced South Federated,Noe@suscipitdolore.net,2027-10-22,9,Margarita,2558,0.76,2015-06-03,(608)944-8596
"34217, Bradenton Beach, FL",Systems East Electronic,Harriette.Galvin@illumduis.org,2027-05-22,10,Sue,7724,0.69,2014-05-30,(917)929-8593
"80420, Alma, CO",Contract Star Virtual,Diego.Harms@inut.info,2027-07-04,11,Candace,6720,0.48,2008-05-31,(505)963-8595
"28039, East Spencer, NC",Hardware Adventure Contract,Lucius.Crowell@blanditautem.tv,2019-10-21,12,Brendon,9966,0.27,2014-05-28,(571)530-9764
"02664, South Yarmouth, MA",Consulting Analysis Design,Gayla@suscipitnostrud.tv,2025-03-23,13,Suzanna,4322,0.50,2011-05-18,(217)410-4670
"72355, Lexa, AR",Max Net,Wally.Cronin@laoreetlobortis.org,2022-04-11,14,Princess,592,0.50,2014-05-27,(727)211-7009
"49401, Allendale, MI",Electronics Adventure Digital,C.Sheehan@velitfacilisi.info,2018-07-12,15,Brittney,4334,0.02,2008-05-19,(717)894-7487
"08270, Woodbine, NJ",Resource Network Omega,Ivonne.Drummond@praesentcommodo.net,2019-02-17,16,Monica,2834,0.11,2012-05-27,(828)521-8911
"60438, Lansing, IL",Telecom Vision Venture,Cindy.Lira@duisfacilisis.gov,2024-07-28,17,Bradley,5415,0.55,2013-05-22,(712)235-1811
"02109, Boston, MA",Pacific Telecom,Armando.Jasso@quisuscipit.org,2024-05-19,18,Tanya,9312,0.60,2014-05-23,(205)937-1954
"75014, Irving, TX",Application Speed,Robbin@commodoiriure.edu,2019-04-22,19,Josef,3062,0.10,2010-05-20,(703)746-8977
"19980, Woodside, DE",Direct Frontier Solutions,Marty.Garris@wisite.edu,2022-09-03,20,Marquis,3155,0.30,2008-05-27,(270)894-4377
